repo,url,stars,language,total_releases,pushed_at,days_since_update
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,539002,Markdown,0,2026-07-14T19:25:58Z,28
sindresorhus/awesome,https://github.com/sindresorhus/awesome,494840,,0,2026-06-30T18:21:16Z,42
public-apis/public-apis,https://github.com/public-apis/public-apis,455613,Python,0,2026-08-12T09:25:54Z,0
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453882,TypeScript,0,2026-08-12T11:31:13Z,0
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394225,Python,0,2026-08-11T12:11:06Z,1
openclaw/openclaw,https://github.com/openclaw/openclaw,386052,TypeScript,233,2026-08-12T14:16:23Z,0
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364225,TypeScript,1,2026-08-07T12:43:15Z,5
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363382,Python,0,2026-03-20T01:52:19Z,145
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358478,,0,2025-08-28T14:42:47Z,348
vinta/awesome-python,https://github.com/vinta/awesome-python,313551,Python,0,2026-08-05T06:11:04Z,7
