repo,url,stars,language,open_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,538980,Markdown,265,677,0.7187
sindresorhus/awesome,https://github.com/sindresorhus/awesome,494824,,16,352,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,455606,Python,10,911,0.9891
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453879,TypeScript,173,21875,0.9922
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394217,Python,38,1254,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386043,TypeScript,3428,43363,0.9267
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364221,TypeScript,1,3183,0.9997
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363371,Python,272,127,0.3183
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358473,,81,455,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,313542,Python,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,312179,,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,278770,Python,151,88,0.3682
996icu/996.ICU,https://github.com/996icu/996.ICU,276620,,0,0,
obra/superpowers,https://github.com/obra/superpowers,271084,Shell,152,682,0.8177
react/react,https://github.com/react/react,247192,JavaScript,814,13798,0.9443
torvalds/linux,https://github.com/torvalds/linux,242596,C,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,239635,JavaScript,41,660,0.9415
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,237950,,0,0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,229372,Python,10469,10558,0.5021
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223672,Python,143,1606,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,214647,Shell,322,299,0.4815
vuejs/vue,https://github.com/vuejs/vue,210233,TypeScript,365,9670,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,207912,HTML,16,658,0.9763
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,201786,,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,200348,TypeScript,339,9627,0.966
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,196970,C++,790,40888,0.981
anomalyco/opencode,https://github.com/anomalyco/opencode,196455,TypeScript,3840,19547,0.8358
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196445,JavaScript,135,238,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195059,Rust,16,2195,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,192411,Markdown,0,0,
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189132,Shell,150,4926,0.9704
microsoft/vscode,https://github.com/microsoft/vscode,188628,TypeScript,17373,233222,0.9307
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,186792,Batchfile,5,1062,0.9953
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186552,Python,301,3637,0.9236
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185132,Jupyter Notebook,537,192,0.2634
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185031,,130,449,0.7755
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184646,,0,947,1.0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,184035,Python,1974,9914,0.834
avelino/awesome-go,https://github.com/avelino/awesome-go,180866,Go,19,736,0.9748
flutter/flutter,https://github.com/flutter/flutter,178354,Dart,12568,102551,0.8908
ollama/ollama,https://github.com/ollama/ollama,178339,Go,2376,8564,0.7828
github/gitignore,https://github.com/github/gitignore,175258,,0,0,
twbs/bootstrap,https://github.com/twbs/bootstrap,174579,MDX,106,22833,0.9954
microsoft/markitdown,https://github.com/microsoft/markitdown,173320,Python,382,181,0.3215
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,170503,Python,586,2708,0.8221
anthropics/skills,https://github.com/anthropics/skills,168444,Python,312,48,0.1333
f/prompts.chat,https://github.com/f/prompts.chat,167044,HTML,20,152,0.8837
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,166228,TypeScript,58,885,0.9385
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164495,Python,2422,5491,0.6939
huggingface/transformers,https://github.com/huggingface/transformers,163995,Python,895,18405,0.9536
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162090,,126,138,0.5227
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,157720,JavaScript,57,1098,0.9506
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153086,Python,216,3199,0.9367
langgenius/dify,https://github.com/langgenius/dify,152206,TypeScript,279,18313,0.985
open-webui/open-webui,https://github.com/open-webui/open-webui,148577,Python,190,9135,0.9796
airbnb/javascript,https://github.com/airbnb/javascript,148133,JavaScript,100,1315,0.9293
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,147495,C,2788,3356,0.5462
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,144268,Shell,54,87,0.617
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144073,Python,345,9608,0.9653
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,142751,,91,120,0.5687
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,141796,TypeScript,34,92,0.7302
vercel/next.js,https://github.com/vercel/next.js,141740,JavaScript,2235,22910,0.9111
anthropics/claude-code,https://github.com/anthropics/claude-code,141169,Python,15093,68293,0.819
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140938,Python,3627,23204,0.8648
microsoft/PowerToys,https://github.com/microsoft/PowerToys,137683,C,7325,33714,0.8215
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,137349,TypeScript,398,5386,0.9312
golang/go,https://github.com/golang/go,135727,Go,9718,63077,0.8665
iptv-org/iptv,https://github.com/iptv-org/iptv,135704,TypeScript,11,34136,0.9997
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135317,Markdown,4,975,0.9959
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,132276,Python,4,167,0.9766
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,131547,HTML,0,0,
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,129416,TypeScript,2258,2648,0.5397
krahets/hello-algo,https://github.com/krahets/hello-algo,129374,Java,13,278,0.9553
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128690,JavaScript,0,300,1.0
garrytan/gstack,https://github.com/garrytan/gstack,127657,TypeScript,402,337,0.456
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,127001,Python,4062,5019,0.5527
farion1231/cc-switch,https://github.com/farion1231/cc-switch,126655,Rust,1416,3151,0.6899
github/spec-kit,https://github.com/github/spec-kit,126373,Python,153,1326,0.8966
react/react-native,https://github.com/react/react-native,126331,C++,677,27089,0.9756
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,124454,Go,1809,47699,0.9635
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,123634,C++,695,8690,0.9259
electron/electron,https://github.com/electron/electron,122466,C++,678,21132,0.9689
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121163,TypeScript,1062,3168,0.7489
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,120195,Rust,78,4217,0.9818
nodejs/node,https://github.com/nodejs/node,118894,JavaScript,705,20044,0.966
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118306,,0,0,
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,118074,,0,0,
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,117589,Jupyter Notebook,0,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,115997,Python,38,134,0.7791
godotengine/godot,https://github.com/godotengine/godot,115602,C++,13368,49905,0.7887
rust-lang/rust,https://github.com/rust-lang/rust,115457,Rust,11420,52062,0.8201
mrdoob/three.js,https://github.com/mrdoob/three.js,114464,JavaScript,245,13479,0.9821
2dust/v2rayN,https://github.com/2dust/v2rayN,113647,C#,24,7093,0.9966
d3/d3,https://github.com/d3/d3,113447,Shell,6,2241,0.9973
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,110760,Swift,156,403,0.7209
immich-app/immich,https://github.com/immich-app/immich,110282,TypeScript,479,8630,0.9474
