repo,url,stars,language,created_at,age_years,merged_pull_requests
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,538973,Markdown,2018-05-09T12:03:18Z,8.26,157
sindresorhus/awesome,https://github.com/sindresorhus/awesome,494805,,2014-07-11T13:42:37Z,12.08,700
public-apis/public-apis,https://github.com/public-apis/public-apis,455594,Python,2016-03-20T23:49:42Z,10.39,2119
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453880,TypeScript,2014-12-24T17:49:19Z,11.63,29070
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394214,Python,2013-10-11T06:50:37Z,12.84,7417
openclaw/openclaw,https://github.com/openclaw/openclaw,386039,TypeScript,2025-11-24T10:16:47Z,0.71,24208
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364216,TypeScript,2017-03-15T13:45:52Z,9.41,4387
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363366,Python,2017-02-26T16:15:28Z,9.45,210
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358468,,2016-06-06T02:34:12Z,10.18,415
vinta/awesome-python,https://github.com/vinta/awesome-python,313531,Python,2014-06-27T21:00:06Z,12.12,738
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,312172,,2015-06-01T02:33:17Z,11.2,0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,278763,Python,2017-04-12T05:07:46Z,9.33,194
996icu/996.ICU,https://github.com/996icu/996.ICU,276619,,2019-03-26T07:31:14Z,7.38,1071
obra/superpowers,https://github.com/obra/superpowers,271049,Shell,2025-10-09T19:45:18Z,0.84,165
react/react,https://github.com/react/react,247189,JavaScript,2013-05-24T16:15:54Z,13.22,13031
torvalds/linux,https://github.com/torvalds/linux,242587,C,2011-09-04T22:48:12Z,14.93,0
affaan-m/ECC,https://github.com/affaan-m/ECC,239619,JavaScript,2026-01-18T00:51:51Z,0.56,986
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,237946,,2018-06-23T10:43:14Z,8.14,122
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,229350,Python,2025-07-22T22:22:28Z,1.05,10341
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223671,Python,2016-07-16T09:44:01Z,10.07,3088
mattpocock/skills,https://github.com/mattpocock/skills,214588,Shell,2026-02-03T11:15:53Z,0.52,85
vuejs/vue,https://github.com/vuejs/vue,210232,TypeScript,2013-07-29T03:24:51Z,13.04,1136
ossu/computer-science,https://github.com/ossu/computer-science,207912,HTML,2014-05-04T00:18:39Z,12.27,315
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,201771,,2026-01-27T03:53:13Z,0.54,12
n8n-io/n8n,https://github.com/n8n-io/n8n,200341,TypeScript,2019-06-22T09:24:21Z,7.14,19821
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,196968,C++,2015-11-07T01:19:20Z,10.76,48797
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196444,JavaScript,2018-03-24T07:47:04Z,8.39,309
anomalyco/opencode,https://github.com/anomalyco/opencode,196441,TypeScript,2025-04-30T20:08:00Z,1.28,7006
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195058,Rust,2026-03-31T08:58:08Z,0.37,141
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,192397,Markdown,2024-05-30T13:23:00Z,2.2,0
