repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,541132,Markdown,2018-05-09T12:03:18Z,8.28,157,0,2026-07-14T19:25:58Z,35,271,677,0.7141
sindresorhus/awesome,https://github.com/sindresorhus/awesome,497669,,2014-07-11T13:42:37Z,12.1,701,0,2026-08-18T13:28:50Z,0,16,352,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,465418,Python,2016-03-20T23:49:42Z,10.41,2147,0,2026-08-18T19:20:39Z,0,30,910,0.9681
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454321,TypeScript,2014-12-24T17:49:19Z,11.65,29115,0,2026-08-19T10:40:53Z,0,164,21899,0.9926
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394765,Python,2013-10-11T06:50:37Z,12.85,7423,0,2026-08-18T14:16:15Z,0,38,1255,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386764,TypeScript,2025-11-24T10:16:47Z,0.73,26331,234,2026-08-19T12:52:53Z,0,3495,44081,0.9265
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364913,TypeScript,2017-03-15T13:45:52Z,9.43,4399,1,2026-08-18T11:56:04Z,1,0,3185,1.0
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,364838,Python,2017-02-26T16:15:28Z,9.47,210,0,2026-03-20T01:52:19Z,152,275,127,0.3159
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359200,,2016-06-06T02:34:12Z,10.2,415,0,2025-08-28T14:42:47Z,355,81,455,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,314858,Python,2014-06-27T21:00:06Z,12.14,741,0,2026-08-16T13:31:43Z,2,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313651,,2015-06-01T02:33:17Z,11.22,0,1,2026-08-19T10:02:51Z,0,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,279882,Python,2017-04-12T05:07:46Z,9.35,194,0,2026-08-17T06:46:47Z,2,152,88,0.3667
996icu/996.ICU,https://github.com/996icu/996.ICU,276719,,2019-03-26T07:31:14Z,7.4,1072,0,2025-08-22T06:01:29Z,362,0,0,
obra/superpowers,https://github.com/obra/superpowers,273995,Shell,2025-10-09T19:45:18Z,0.86,167,12,2026-08-13T00:36:31Z,6,98,755,0.8851
react/react,https://github.com/react/react,247420,JavaScript,2013-05-24T16:15:54Z,13.23,13034,132,2026-08-19T12:51:35Z,0,822,13801,0.9438
torvalds/linux,https://github.com/torvalds/linux,243286,C,2011-09-04T22:48:12Z,14.95,0,0,2026-08-19T02:54:46Z,0,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,241081,JavaScript,2026-01-18T00:51:51Z,0.58,997,15,2026-08-18T20:07:38Z,0,43,667,0.9394
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239125,,2018-06-23T10:43:14Z,8.16,122,0,2024-11-19T14:00:38Z,637,0,0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,232847,Python,2025-07-22T22:22:28Z,1.07,11245,28,2026-08-19T10:40:40Z,0,11280,11296,0.5004
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223865,Python,2016-07-16T09:44:01Z,10.09,3088,0,2026-08-03T18:44:56Z,15,143,1606,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,222821,Shell,2026-02-03T11:15:53Z,0.54,92,7,2026-08-19T10:05:08Z,0,368,304,0.4524
vuejs/vue,https://github.com/vuejs/vue,210239,TypeScript,2013-07-29T03:24:51Z,13.06,1136,249,2024-10-10T07:24:15Z,678,365,9670,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,208161,HTML,2014-05-04T00:18:39Z,12.29,315,0,2026-07-14T05:38:25Z,36,17,658,0.9748
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,203811,,2026-01-27T03:53:13Z,0.56,12,0,2026-04-20T10:05:04Z,121,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,201175,TypeScript,2019-06-22T09:24:21Z,7.16,20160,767,2026-08-19T12:56:11Z,0,338,9701,0.9663
anomalyco/opencode,https://github.com/anomalyco/opencode,199062,TypeScript,2025-04-30T20:08:00Z,1.3,7333,860,2026-08-19T12:55:25Z,0,3955,20133,0.8358
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197061,C++,2015-11-07T01:19:20Z,10.78,48928,222,2026-08-19T12:54:04Z,0,767,40932,0.9816
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196522,JavaScript,2018-03-24T07:47:04Z,8.41,309,0,2026-07-26T02:43:08Z,24,135,238,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195087,Rust,2026-03-31T08:58:08Z,0.39,143,0,2026-08-16T06:18:45Z,3,16,2195,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194277,Markdown,2024-05-30T13:23:00Z,2.22,0,0,2026-08-12T10:36:46Z,7,0,0,
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189265,Shell,2009-08-28T18:15:37Z,16.97,3653,0,2026-08-17T21:45:08Z,1,154,4925,0.9697
microsoft/vscode,https://github.com/microsoft/vscode,188925,TypeScript,2015-09-03T20:23:38Z,10.96,52141,234,2026-08-19T12:40:56Z,0,17519,233670,0.9303
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187542,Batchfile,2020-01-12T23:03:34Z,6.6,7,31,2026-07-04T16:54:38Z,45,6,1067,0.9944
