item_id,type,status,number,title,url,state,repository,assignees
PVTI_lAHOBmZUS84BgJduzg2ReOQ,Issue,In progress,14,Validação RQ03/RQ04 nos 1000 repositórios + hipótese informal,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/14,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2RePg,Issue,In progress,15,Rodar snapshot do board e exportar CSV,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/15,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2QT0o,Issue,In review,9,RQ07 - Cruzamento por linguagem,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/9,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
PVTI_lAHOBmZUS84BgJduzg2ReNE,Issue,In review,13,Validação RQ01/RQ02 nos 1000 repositórios + hipótese informal,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/13,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,marcusvv12
PVTI_lAHOBmZUS84BgJduzg2ReL4,Issue,In review,12,Paginação para 1000 repositórios,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/12,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,marcusvv12
PVTI_lAHOBmZUS84BgJduzg2QT1s,Issue,In review,10,Integrar scripts individuais em query única do grupo,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/10,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2QT38,Issue,In review,11,Rodar consulta para 100 repositórios e validar saída,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/11,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2QTzE,Issue,In review,8,RQ06 - Percentual de issues fechadas,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/8,CLOSED,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
PVTI_lAHOBmZUS84BgJduzg2QTyQ,Issue,In review,7,RQ05 - Linguagem primária,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/7,CLOSED,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
PVTI_lAHOBmZUS84BgJduzg2QTcA,Issue,In review,3,RQ01 - Idade do repositório,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/3,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,marcusvv12
PVTI_lAHOBmZUS84BgJduzg2QTK4,Issue,Done,1,Setup do GitHub Projects (v2),https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/1,CLOSED,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
PVTI_lAHOBmZUS84BgJduzg2QTdk,Issue,In review,4,RQ02 - Total de pull requests aceitas,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/4,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,marcusvv12
PVTI_lAHOBmZUS84BgJduzg2QTag,Issue,In review,2,Setup do script base de consulta GraphQL,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/2,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,marcusvv12
PVTI_lAHOBmZUS84BgJduzg2QTjQ,Issue,In review,5,RQ03 - Total de releases,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/5,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2QTkY,Issue,In review,6,RQ04 - Tempo até a última atualização,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/6,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gguilhermelana
PVTI_lAHOBmZUS84BgJduzg2ReQ8,Issue,Backlog,16,Validação RQ05/RQ06/RQ07 nos 1000 repositórios + hipótese informal,https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/16,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
PVTI_lAHOBmZUS84BgJduzg2ReRs,Issue,Backlog,17,Primeira versão do relatório (introdução + hipóteses),https://github.com/gabrielchagas13/lab-exp-de-software-turma-02-grupo-06/issues/17,OPEN,gabrielchagas13/lab-exp-de-software-turma-02-grupo-06,gabrielchagas13
