repo,url,stars,language,created_at,age_years,merged_pull_requests
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,538973,Markdown,2018-05-09T12:03:18Z,8.26,157
sindresorhus/awesome,https://github.com/sindresorhus/awesome,494807,,2014-07-11T13:42:37Z,12.08,700
public-apis/public-apis,https://github.com/public-apis/public-apis,455595,Python,2016-03-20T23:49:42Z,10.39,2119
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453880,TypeScript,2014-12-24T17:49:19Z,11.63,29070
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394215,Python,2013-10-11T06:50:37Z,12.84,7417
openclaw/openclaw,https://github.com/openclaw/openclaw,386041,TypeScript,2025-11-24T10:16:47Z,0.71,24209
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364216,TypeScript,2017-03-15T13:45:52Z,9.41,4387
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363367,Python,2017-02-26T16:15:28Z,9.45,210
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358468,,2016-06-06T02:34:12Z,10.18,415
vinta/awesome-python,https://github.com/vinta/awesome-python,313532,Python,2014-06-27T21:00:06Z,12.12,738
