trial_id,participant,kata,treatment,censored,loc,sloc,cyclomatic_complexity_mean,maintainability_index,duplication_pct,solution_path
01_gastos_semanais_marcusvv12_ia_total_20260916T171339,marcusvv12,01_gastos_semanais,ia_total,False,16,6,2.0,95.48,0.0,data/trials/01_gastos_semanais_marcusvv12_ia_total_20260916T171339/solution_mv.py
03_escalonador_tarefas_marcusvv12_ia_total_20260916T171437,marcusvv12,03_escalonador_tarefas,ia_total,False,40,23,12.0,85.84,0.0,data/trials/03_escalonador_tarefas_marcusvv12_ia_total_20260916T171437/solution_mv.py
02_normalizador_tags_marcusvv12_manual_20260916T171630,marcusvv12,02_normalizador_tags,manual,False,19,9,2.0,97.45,0.0,data/trials/02_normalizador_tags_marcusvv12_manual_20260916T171630/solution_mv.py
04_clusters_anagramas_marcusvv12_manual_20260916T172313,marcusvv12,04_clusters_anagramas,manual,False,23,10,4.0,96.72,0.0,data/trials/04_clusters_anagramas_marcusvv12_manual_20260916T172313/solution_mv.py
01_gastos_semanais_gabrielchagas13_manual_20260916T143706,gabrielchagas13,01_gastos_semanais,manual,False,14,6,2.0,98.87,0.0,data/trials/01_gastos_semanais_gabrielchagas13_manual_20260916T143706/solution_gc.py
03_escalonador_tarefas_gabrielchagas13_manual_20260916T150941,gabrielchagas13,03_escalonador_tarefas,manual,True,13,2,1.0,100.0,0.0,data/trials/03_escalonador_tarefas_gabrielchagas13_manual_20260916T150941/solution_gc.py
02_normalizador_tags_gabrielchagas13_ia_total_20260916T182513,gabrielchagas13,02_normalizador_tags,ia_total,False,20,11,2.0,100.0,0.0,data/trials/02_normalizador_tags_gabrielchagas13_ia_total_20260916T182513/solution_gc.py
04_clusters_anagramas_gabrielchagas13_ia_total_20260916T182917,gabrielchagas13,04_clusters_anagramas,ia_total,False,16,8,3.0,100.0,0.0,data/trials/04_clusters_anagramas_gabrielchagas13_ia_total_20260916T182917/solution_gc.py
01_gastos_semanais_gguilhermelana_ia_total_20260916T223026,gguilhermelana,01_gastos_semanais,ia_total,False,15,7,2.0,97.49,0.0,data/trials/01_gastos_semanais_gguilhermelana_ia_total_20260916T223026/solution_gl.py
04_clusters_anagramas_gguilhermelana_ia_total_20260916T223111,gguilhermelana,04_clusters_anagramas,ia_total,False,16,8,3.0,100.0,0.0,data/trials/04_clusters_anagramas_gguilhermelana_ia_total_20260916T223111/solution_gl.py
02_normalizador_tags_gguilhermelana_manual_20260916T224727,gguilhermelana,02_normalizador_tags,manual,False,29,12,3.0,92.18,0.0,data/trials/02_normalizador_tags_gguilhermelana_manual_20260916T224727/solution_gl.py
03_escalonador_tarefas_gguilhermelana_manual_20260916T225039,gguilhermelana,03_escalonador_tarefas,manual,False,52,30,12.0,82.1,0.0,data/trials/03_escalonador_tarefas_gguilhermelana_manual_20260916T225039/solution_gl.py
